"title","name","start","end","value"
"동물","  동물원 및 수족관의 관리에 관한 법률 일부개정법률안(이헌승의원 등 14인)","2019-01-02","2019-01-02","2"
"동물","  동물보호법 일부개정법률안(박홍근의원 등 11인)","2018-12-26","2018-12-26","2"
"동물","  동물보호법 일부개정법률안(대안)","2018-12-06","2018-12-07","6"
"동물","  동물보호법 일부개정법률안(황주홍의원 등 10인)","2018-11-23","2018-11-23","2"
"동물","  동물보호법 일부개정법률안(김종회의원 등 10인)","2018-10-02","2018-10-02","2"
"동물","  동물보호법 일부개정법률안","2018-07-31","2018-07-31","2"
"동물","  동물원 및 수족관의 관리에 관한 법률 일부개정법률안(정진석의원 등 13인)","2018-07-03","2018-07-03","2"
"동물","  동물보호법 일부개정법률안(표창원의원 등 10인)","2018-06-20","2018-06-20","2"
"동물","  동물보호법 일부개정법률안(한정애의원 등 10인)","2018-06-19","2018-06-19","2"
"동물","  동물보호법 일부개정법률안(이상돈의원 등 12인)","2018-05-15","2018-05-15","2"
"동물","  동물보호법 일부개정법률안(정인화의원 등 11인)","2018-05-10","2018-05-10","2"
"동물","  동물보호법 일부개정법률안(이종배의원 등 10인)","2018-05-01","2018-05-01","2"
"동물","  동물보호법 일부개정법률안(한정애의원 등 10인)","2018-04-24","2018-04-24","2"
"동물","  실험동물에 관한 법률 일부개정법률안(한정애의원 등 11인)","2018-04-24","2018-04-24","2"
"동물","  실험동물에 관한 법률 일부개정법률안(백혜련의원 등 10인)","2018-04-17","2018-04-17","2"
"동물","  동물보호법 일부개정법률안(대안)","2018-02-28","2018-02-28","6"
"동물","  실험동물에 관한 법률 일부개정법률안(정춘숙의원 등 12인)","2018-01-16","2018-11-23","6"
"동물","  동물보호법 일부개정법률안(조경태의원 등 10인)","2017-12-13","2017-12-13","2"
"동물","  동물보호법 일부개정법률안(김한정의원 등 13인)","2017-12-13","2017-12-13","2"
"동물","  동물보호법 일부개정법률안(조경태의원 등 10인)","2017-12-12","2017-12-12","2"
"동물","  동물보호법 일부개정법률안(김성찬의원 등 11인)","2017-12-12","2017-12-12","2"
"동물","  동물보호법 일부개정법률안(민홍철의원 등 12인)","2017-12-05","2018-12-07","7"
"동물","  실험동물에 관한 법률 일부개정법률안(대안)","2017-11-30","2017-12-01","6"
"동물","  동물보호법 일부개정법률안(정병국의원 등 11인)","2017-11-30","2017-11-30","2"
"동물","  동물보호법 일부개정법률안(최명길의원 등 11인)","2017-11-30","2017-11-30","2"
"동물","  동물보호법 일부개정법률안(이석현의원 등 11인)","2017-11-27","2017-11-27","2"
"동물","  동물보호법 일부개정법률안(정병국의원 등 13인)","2017-11-24","2017-11-24","2"
"동물","  동물보호법 일부개정법률안(정병국의원 등 10인)","2017-11-23","2017-11-23","2"
"동물","  동물보호법 일부개정법률안(김재원의원 등 10인)","2017-11-17","2018-02-28","7"
"동물","  동물보호법 일부개정법률안(김상희의원 등 11인)","2017-11-08","2018-02-28","7"
"동물","  동물보호법 일부개정법률안(정병국의원 등 10인)","2017-10-27","2018-02-28","7"
"동물","  동물원 및 수족관의 관리에 관한 법률 일부개정법률안(이용득의원 등 26인)","2017-10-25","2018-05-28","6"
"동물","  동물보호법 일부개정법률안(김상희의원 등 10인)","2017-09-29","2017-12-16","8"
"동물","  동물보호법 일부개정법률안(박홍근의원 등 10인)","2017-09-29","2017-12-16","8"
"동물","  동물보호법 일부개정법률안(주호영의원 등 10인)","2017-09-29","2018-02-28","7"
"동물","  동물보호법 일부개정법률안(기동민의원 등 18인)","2017-09-28","2018-02-28","7"
"동물","  동물보호법 일부개정법률안(홍의락의원 등 15인)","2017-09-14","2017-09-14","2"
"동물","  동물보호법 일부개정법률안(황주홍의원 등 10인)","2017-09-08","2018-02-28","7"
"동물","  동물보호법 일부개정법률안(박준영의원 등 23인)","2017-09-07","2017-12-16","8"
"동물","  실험동물에 관한 법률 일부개정법률안(양승조의원 등 10인)","2017-09-07","2017-12-01","7"
"동물","  동물보호법 일부개정법률안(홍의락의원 등 10인)","2017-09-05","2017-12-16","8"
"동물","  동물보호법 일부개정법률안(주승용의원 등 10인)","2017-09-01","2018-02-28","7"
"동물","  실험동물에 관한 법률 일부개정법률안(양승조의원 등 10인)","2017-08-17","2017-12-01","7"
"동물","  동물보호법 일부개정법률안(한정애의원 등 10인)","2017-07-28","2017-12-16","8"
"동물","  동물보호법 일부개정법률안(이태규의원 등 10인)","2017-07-28","2018-02-28","7"
"동물","  동물보호법 일부개정법률안(장제원의원 등 10인)","2017-07-21","2018-02-28","7"
"동물","  동물보호법 일부개정법률안(한정애의원 등 12인)","2017-06-02","2017-12-16","8"
"동물","  실험동물에 관한 법률 일부개정법률안(한정애의원 등 12인)","2017-06-02","2017-12-01","7"
"동물","  동물보호법 일부개정법률안(민경욱의원 등 10인)","2017-05-17","2017-12-16","8"
"동물","  동물보호법 일부개정법률안(강창일의원 등 14인)","2017-04-14","2017-12-16","8"
"동물","  실험동물에 관한 법률 일부개정법률안(기동민의원 등 13인)","2017-04-11","2017-12-01","7"
"동물","  동물보호법 일부개정법률안(기동민의원 등 13인)","2017-04-11","2018-02-28","7"
"동물","  동물보호법 일부개정법률안(양승조의원 등 10인)","2017-03-23","2017-12-16","8"
"동물","  동물보호법 일부개정법률안(이정미의원 등 12인)","2017-03-21","2017-03-21","2"
"동물","  동물보호법 일부개정법률안(홍의락의원 등 10인)","2017-03-15","2018-02-28","7"
"동물","  동물보호법 일부개정법률안(대안)","2017-02-28","2017-03-02","6"
"동물","  동물보호법 일부개정법률안(박완주의원 등 10인)","2017-02-22","2018-02-28","7"
"동물","  동물보호법 일부개정법률안(문진국의원 등 12인)","2017-02-06","2017-03-02","7"
"동물","  동물보호법 일부개정법률안(김상희의원 등 11인)","2016-12-26","2017-03-02","7"
"동물","  동물보호법 일부개정법률안(위성곤의원 등 12인)","2016-11-04","2017-03-02","7"
"동물","  동물보호법 일부개정법률안(이종배의원 등 10인)","2016-10-18","2017-03-02","7"
"동물","  실험동물에 관한 법률 일부개정법률안","2016-10-11","2017-01-20","6"
"동물","  동물보호법 일부개정법률안(심상정의원 등 10인)","2016-09-30","2018-12-07","7"
"동물","  동물보호법 일부개정법률안(김상희의원 등 11인)","2016-09-08","2017-03-02","7"
"동물","  동물보호법 일부개정법률안(김상희의원 등 12인)","2016-09-07","2017-03-02","7"
"동물","  동물보호법 일부개정법률안(표창원의원 등 64인)","2016-08-31","2017-03-02","7"
"동물","  동물보호법 일부개정법률안(한정애의원 등 19인)","2016-08-30","2017-03-02","7"
"동물","  동물보호법 일부개정법률안(진선미의원 등 12인)","2016-08-25","2017-03-02","7"
"동물","  동물보호법 일부개정법률안(황주홍의원 등 12인)","2016-08-22","2017-03-02","7"
"동물","  동물보호법 일부개정법률안(장정숙의원 등 10인)","2016-08-19","2017-03-02","7"
"동물","  동물보호법 일부개정법률안","2016-08-11","2017-03-02","7"
"동물","  동물보호법 일부개정법률안(이채익의원 등 11인)","2016-07-11","2017-03-02","7"
"동물","  동물보호법 일부개정법률안(이명수의원 등 10인)","2016-07-11","2017-03-02","7"
"동물","  동물보호법 일부개정법률안(홍의락의원 등 10인)","2016-07-07","2017-03-02","7"
