"title","name","start","end","value"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(송희경의원 등 10인)","2018-04-20","2018-04-20","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(강훈식의원 등 10인)","2018-04-18","2018-04-18","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(신용현의원 등 12인)","2018-04-17","2018-04-17","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(백혜련의원 등 11인)","2018-04-17","2018-04-17","2"
"가정","  국가정보원법 일부개정법률안(장제원의원 등 10인)","2018-04-16","2018-04-16","2"
"가정","  국가정보화 기본법 일부개정법률안(조경태의원 등 10인)","2018-04-12","2018-04-12","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(강병원의원 등 11인)","2018-04-11","2018-04-11","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(박광온의원 등 10인)","2018-04-02","2018-04-02","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(박광온의원 등 10인)","2018-03-30","2018-03-30","2"
"가정","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(인재근의원 등 15인)","2018-03-26","2018-03-26","2"
"가정","  국가정보원법 전부개정법률안(이완영의원 등 59인)","2018-03-23","2018-03-23","2"
"가정","  가정폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(김승희의원 등 10인)","2018-03-22","2018-03-22","2"
"가정","  가정폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(윤후덕의원 등 10인)","2018-03-16","2018-03-16","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(권칠승의원 등 10인)","2018-03-12","2018-03-12","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(신보라의원 등 11인)","2018-03-12","2018-03-12","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(김경진의원 등 10인)","2018-03-07","2018-03-07","2"
"가정","  가정폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(대안)","2018-02-28","2018-02-28","6"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(황주홍의원 등 17인)","2018-02-28","2018-02-28","2"
"가정","  가정폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(최도자의원 등 10인)","2018-02-28","2018-02-28","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(민경욱의원 등 10인)","2018-02-27","2018-02-27","2"
"가정","  국가정보화 기본법 전부개정법률안(변재일의원 등 13인)","2018-02-14","2018-02-14","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(김상희의원 등 18인)","2018-02-09","2018-02-09","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(권미혁의원 등 14인)","2018-02-06","2018-02-06","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(추혜선의원 등 11인)","2018-02-06","2018-02-06","2"
"가정","  국가정보원법 전부개정법률안(노회찬의원 등 10인)","2018-01-31","2018-01-31","2"
"가정","  국가정보화 기본법 일부개정법률안(대안)","2018-01-30","2018-01-30","6"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(송옥주의원 등 10인)","2018-01-29","2018-01-29","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(김삼화의원 등 13인)","2018-01-25","2018-01-25","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(임이자의원 등 10인)","2018-01-24","2018-01-24","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(박인숙의원 등 10인)","2018-01-24","2018-01-24","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(기동민의원 등 11인)","2018-01-23","2018-01-23","2"
"가정","  국가정보화 기본법 일부개정법률안(정인화의원 등 11인)","2018-01-19","2018-01-19","2"
"가정","  국가정보원법 일부개정법률안(추미애의원 등 91인)","2018-01-18","2018-01-18","2"
"가정","  국가정보원법 전부개정법률안(김병기의원 등 85인)","2018-01-15","2018-01-15","2"
"가정","  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안(정춘숙의원 등 10인)","2018-01-10","2018-01-10","2"
"가정","  국가정보원법 전부개정법률안(박홍근의원 등 10인)","2018-01-08","2018-01-08","2"
"가정","  가정폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(백혜련의원 등 11인)","2018-01-05","2018-01-05","2"
