"title","name","start","end","value"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(박경미의원 등 10인)","2018-05-03","2018-05-03","2"
"폭력","  가정폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(이동섭의원 등 10인)","2018-05-03","2018-05-03","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(이찬열의원 등 10인)","2018-05-01","2018-05-01","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(이춘석의원 등 12인)","2018-04-30","2018-04-30","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(정춘숙의원 등 10인)","2018-04-25","2018-11-29","7"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(손금주의원 등 10인)","2018-04-24","2018-04-24","2"
"폭력","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(이찬열의원 등 12인)","2018-04-23","2018-04-23","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(최경환의원 등 11인)","2018-04-17","2018-04-17","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(하태경의원 등 10인)","2018-04-13","2018-04-13","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(곽상도의원 등 11인)","2018-04-06","2018-04-06","2"
"폭력","  학교폭력예방 및 대책에 관한 법률 일부개정법률안(강훈식의원 등 12인)","2018-04-03","2018-04-03","2"
"폭력","  성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(권미혁의원 등 10인)","2018-04-03","2018-04-03","1"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(신상진의원 등 10인)","2018-04-02","2018-04-02","2"
"폭력","  성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(신보라의원 등 11인)","2018-04-02","2018-04-02","1"
"폭력","  성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(남인순의원 등 10인)","2018-03-28","2018-03-28","1"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(박경미의원 등 10인)","2018-03-28","2018-03-28","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(김삼화의원 등 11인)","2018-03-27","2018-03-27","2"
"폭력","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(인재근의원 등 15인)","2018-03-26","2018-03-26","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(윤종필의원 등 10인)","2018-03-22","2018-03-22","2"
"폭력","  가정폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(김승희의원 등 10인)","2018-03-22","2018-03-22","2"
"폭력","  성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(윤종필의원 등 10인)","2018-03-20","2018-03-20","2"
"폭력","  성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(유승희의원 등 19인)","2018-03-20","2018-03-20","1"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(손금주의원 등 10인)","2018-03-19","2018-03-19","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(이명수의원 등 10인)","2018-03-16","2018-03-16","2"
"폭력","  가정폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(윤후덕의원 등 10인)","2018-03-16","2018-03-16","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(장정숙의원 등 10인)","2018-03-13","2018-03-13","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(권칠승의원 등 10인)","2018-03-12","2018-03-12","2"
"폭력","  성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(신용현의원 등 27인)","2018-03-08","2018-03-08","1"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(이철규의원 등 23인)","2018-03-08","2018-03-08","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(유승희의원 등 23인)","2018-03-08","2018-03-08","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(신용현의원 등 27인)","2018-03-07","2018-03-07","2"
"폭력","  성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(신용현의원 등 27인)","2018-03-07","2018-03-07","1"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(이언주의원 등 10인)","2018-03-06","2018-03-06","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(나경원의원 등 10인)","2018-03-02","2018-03-02","2"
"폭력","  학교폭력예방 및 대책에 관한 법률 일부개정법률안(이종배의원 등 10인)","2018-03-02","2018-03-02","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(손금주의원 등 11인)","2018-02-28","2018-02-28","2"
"폭력","  가정폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(대안)","2018-02-28","2018-02-28","6"
"폭력","  성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(황주홍의원 등 17인)","2018-02-28","2018-02-28","1"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(황주홍의원 등 17인)","2018-02-28","2018-02-28","2"
"폭력","  성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(김삼화의원 등 27인)","2018-02-28","2018-02-28","1"
"폭력","  가정폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(최도자의원 등 10인)","2018-02-28","2018-02-28","2"
"폭력","  성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(김삼화의원 등 27인)","2018-02-27","2018-02-27","1"
"폭력","  성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(김삼화의원 등 27인)","2018-02-26","2018-02-26","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(오신환의원 등 27인)","2018-02-26","2018-02-26","2"
"폭력","  성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(송기헌의원 등 23인)","2018-02-23","2018-02-23","1"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(조경태의원 등 11인)","2018-02-23","2018-02-23","2"
"폭력","  여성폭력방지기본법안(정춘숙의원 등 15인)","2018-02-21","2018-12-07","6"
"폭력","  성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(대안)","2018-02-20","2018-02-20","6"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(민경욱의원 등 12인)","2018-02-14","2018-02-14","2"
"폭력","  서지현 검사에 대한 검찰 내 성추행 사건, 이와 관련된 인사발령, 해당 사건에 대한 법무부의 은폐시도의혹 및 그 외 검찰 내 성폭력 사건 등의 진상규명을 위한 특별검사의 수사요구안(오신환의원 등 17인)","2018-02-09","2018-02-09","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(서영교의원 등 10인)","2018-02-05","2018-02-05","2"
"폭력","  학교폭력예방 및 대책에 관한 법률 일부개정법률안(윤상직의원 등 10인)","2018-02-02","2018-02-02","2"
"폭력","  학교폭력예방 및 대책에 관한 법률 일부개정법률안(안민석의원 등 11인)","2018-01-24","2018-01-24","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(백혜련의원 등 11인)","2018-01-05","2018-01-05","2"
"폭력","  가정폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(백혜련의원 등 11인)","2018-01-05","2018-01-05","2"
"폭력","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(백혜련의원 등 12인)","2018-01-05","2018-01-05","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(이만희의원 등 10인)","2017-12-29","2017-12-29","2"
"폭력","  가정폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(정춘숙의원 등 10인)","2017-12-29","2018-02-28","7"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(황주홍의원 등 11인)","2017-12-27","2017-12-27","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(박순자의원 등 11인)","2017-12-27","2017-12-27","2"
"폭력","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(정춘숙의원 등 10인)","2017-12-22","2017-12-22","2"
"폭력","  학교폭력예방 및 대책에 관한 법률 일부개정법률안(송기석의원 등 11인)","2017-12-19","2017-12-19","2"
"폭력","  데이트폭력범죄 처벌 등에 관한 특례법안(함진규의원 등 10인)","2017-12-18","2017-12-18","2"
"폭력","  데이트폭력범죄의 처벌 등에 관한 특례법안(박남춘의원 등 12인)","2017-12-11","2017-12-11","2"
"폭력","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(정춘숙의원 등 11인)","2017-12-05","2017-12-05","2"
"폭력","  가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(이태규의원 등 11인)","2017-12-04","2017-12-04","2"
"폭력","  성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(권미혁의원 등 11인)","2017-12-01","2018-03-30","6"
"폭력","  가정폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안(권미혁의원 등 11인)","2017-12-01","2018-02-28","7"
"폭력","  학교폭력예방 및 대책에 관한 법률 일부개정법률안(김기선의원 등 10인)","2017-11-27","2017-11-27","2"
"폭력","  학교폭력예방 및 대책에 관한 법률 일부개정법률안(염동열의원 등 13인)","2017-11-24","2017-11-24","2"
"폭력","  성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(대안)","2017-11-23","2017-11-24","6"
